ং	ŋ
আর্তব	ɑ ɾ . t̪ ɔ b
আলাপ	a l a p
আলো	a l o
আশমান	ɑ ʃ . m ɑ n
আশুতোষ	a ʃ u t o ʃ
আশোত	a ʃ o t
আষ্ট	a ʃ . t̺ ɔ
আসিফ	a s i f
ই	i
ইংরেজি	i ŋ ɾ e d ʒ i
ইংরেজি	i ŋ ɽ e z i
ইংরেজি	i ŋ ɽ e d z i
ইউক্রেন	i u . k ɾ e n
ইখান	i . kʰ a n
ইখান	i . ɦ a n
ইগা	i . ɡ a
ইজ্জত	i z z o t̪
ইজ্জত	i d ʒ d ʒ o t̪
ইটানো	i ʈ a n o
ইডা	i . d̺ a
ইতিহাস	i . t̪ i . ɦ ɑ ʃ
ইন	i n
ইনকিলাব	i n . k i . l ɑ b
ইনকিলাবি	i n . k i . l ɑ . b i
ইনশাআল্লাহ্	i n ʃ a . a l l aʱ
ইন্দু	i n . d̪ u
ইয়ান	i a n
ইলিশ	i l i ʃ
ঈ	i
ঈগল	i ɡ ɔ l
উ	u
উইল	u i̯ l
উক্কা	u k . k a
উঙ্ঘানো	u ŋ . ɡʱ a . n ɔ
উট	u ʈ
উদিন	u . d̪ i n
উদ্বোধন	u d̪ . b o . d̪ʱ ɔ n
উন্দূর	u n d̪ u ɾ
উপজেলা	u p o z e l a
উপজেলা	u p o d ʒ e l a
উপত্যকা	u p ɔ t̪ː ɔ k a
উপন্যাস	u . p ɔ n . n ɑ ʃ
উপভাষা	u . p ɔ . bʱ ɑ . ʃ ɑ
উপাচার্য	u . p ɑ . t͡ʃ ɑ ɾ . d͡ʒ ɔ
উপাচার্য	u p ä t͡ʃ ä ɾ d͡ʒ o
উপাচার্য	u p ä t͡ʃ ä ɾ d͡ʒ o
উয়াস	u a ʃ
উলঙ্গ	u . l ɔ ŋ . ɡ ɔ
উল্কা	u l k ɐ
উল্কি	ˈu l k i
উষ্ণ	ˈu ʃ n o
উৎপত্তি	u t̪ p ɔ t̪ː i
ঋ	r iː
ঋতু	ɾ i t̪ u
এ	e
এ	æ
একজিবিশন	e k . d͡ʒ i . b i . ʃ ɔ n
একতা	æ . k ɔ . t̪ ɑ
এখন	æ kʰ ɔ n
এখনও	æ kʰ ɔ n o
এবও	ɛ . b ɔ
এবে	e . b e
এভাবে	e bʱ a b e
এভাবে	e v a b e
এলাকা	e l a k a
ঐ	o iː
ঐতিহাসিক	o i t̪ i ɦ ɑ s i k
ওঠা	ˈo ʈʰ a
ওদের	ˈɔː . ð ɛ ɹ
ওয়াক্ত	oʷ a k t̪
ওয়াক্ত	oʷ a k . t̪ o
ওয়াদা	w a d a
ওস্তাদ	o s t̪ a d̪
ঔ	o u
ক	k ɔ
কখন	k ɒ . kʰ ɒ n
কখনও	k ɔ kʰ ɔ n o
কঠিন	k ɔ ʈʰ i n
কত	ˈk ɔ t̪ o
কদম	k ɔ d ɔ m
কদাচিৎ	k ɔ . d̪ ɑ . t͡ʃ i t̪
কদু	k o d̪ u
কনকচাঁপা	k ɔ n ɔ k c ã p a
কন্ডম	ˈk ɔ n ɖ ɔ m
কফ	k ɔ pʰ
কবি	k ɔ . b i
কবুতর	k o b u t̪ ɔ r
কবে	k oː . b ɛ
কয়	k ɔ e̯
কয়ফল	k ɒ e̯ . ɸ ɒ l
কয়লাখনি	k ɔ e̯ . l ɑ . kʰ ɔ . n i
কয়েদ	k ɔ e̯ e d̪
কয়েদখানা	k ɔ e̯ e d̪ kʰ a n a
করঞ্জ	k ɔ ɾ ɔ n ɟ ɔ
করবী	k ɔ ɾ ɔ b i
করলা	k ɔ ɾ o l a
করা	k ɔ ɾ a
করা	k ɔ ɹ a
করা	k ɔ ɽ a
কলকাতা	ˈk o l ˌk a t̪ a
কলম	k ɔ l o m
কল্লা	k ɔ l . l a
কল্লা	k ɒ l . l a
কাঁঠাল	k a ʈʰ a l
কাঁসা	k ã s a
কাইল	k a i l
কাক	k a k
কাগজ	k a ɡ o d ʒ
কাগজ	k a ɡ o z
কাটা	k ɑ ʈ ɑ
কাটুয়া	k a . t̺ u a
কাঠিপোকা	k ɑ . ʈ̟ʰ i . p o . k ɑ
কাডোল	k a . d̺ ɔ l
কাণ্টা	k a n . t̺ a
কাণ্টামি	k a n . t̺ a . m i
কান	k ɑ n
কানুনগো	k ɑ . n u n . ɡ o
কান্দইন্যা	k a n . d̪ ɔ i n . n a
কান্দাইন্যা	k a n . d̪ a i n . n a
কাপড়	ˈk a p ɔ ɽ
কাপড়	ˈk a p ɔ ɹ
কামরাঙ্গা	k a m ɾ a ŋ ɡ a
কামুক	ˈk a m u k
কারখানা	k a r kʰ a n a
কারিগর	k a r i ɡ ɔ r
কারিগরি	k a r i ɡ o r i
কালা	k a . l a
কালো	k a l o
কাল্পনিক	k a l p o n i k
কাহই	k a . h ɔ i
কিংবা	k i ŋ b ɑ
কিচ্ছা	k i t ʃ t ʃʰ a
কিছু	k i t ʃʰ u
কিছু	k i s u
কিছুক্ষণ	k i t ʃʰ u kːʰ ɔ n
কিছুক্ষণ	k i s u kːʰ ɔ n
কিতা	k i . t̪ a
কিতাব	k i t a b
কিনইন্যা	k i . n ɔ i n . n a
কিনার	k i n a r
কিন্তু	k i n t̪ u
কিভাবে	k i bʱ a b e
কিভাবে	k i v a b e
কিশমিশ	k i ʃ m i ʃ
কীভাবে	k i bʱ a b e
কীভাবে	k i b a b e
কুকুর	k u k u ɾ
কুকুরছানা	k u k u ɾ t ʃʰ a n a
কুকুরছানা	k u k u ɽ t ʃʰ a n a
কুকুরছানা	k u k u ɽ s a n a
কুঞ্জলতা	k u n ɟ ɔ l ɔ t a
কুত্তা	k u t̪ː a
কুম	k u m
কুয়াশা	k u a . ʃ a
কুসুম	k u ʃ u m
কুস্তি	k u s t̪ i
কৃষ্ণচূড়া	k ɾ i ʃ n ɔ c u ɽ a
কৃষ্ণচূড়া	k ɾ i ʃ ʈ ɔ̃ c u ɽ a
কেগা	k e . ɡ a
কেঠা	k ɛ . t̺ʰ a
কেডা	k ɛ . d̺ a
কেন	k ɛ . n oː
কেয়া	k e a
কেলা	k ɛ . l a
কোমর	k ɔ m ɔ ɹ
কৌলিক	k o u̯ . l i k
কৌশিক	k o u . ʃ i k
কৌশিক	k o u̯ s̠ i k
কৌশিক	k o u̯ s̠ i k
ক্যা	k ɛ
ক্ষমাহীন	kʰ ɔ m a ɦ i n
কৎবেল	k ɔ t b e l
খ	kʱ ɔ
খয়ের	kʰ ɔ e ɾ
খরগোশ	ˈkʰ ɔ r ɡ o ʃ
খরচ	kʰ ɔ ɾ o t ʃ
খাতির	kʰ a t̪ i ɾ
খান	kʰ a n
খানকি	kʰ a ŋ k i
খারাপ	kʰ a ɾ a p
খালি	kʰ a l i
খালী	kʰ a l i
খুজুটিপাড়া	kʰ u . d͡ʒ u . ʈ̟ i . p ɑ . ɽ̟ ɑ
খুব	kʰ u b
খুশি	kʰ u ʃ i
খূব	kʰ u b
খেজুর	kʰ e d ʒ u r
খেয়াল	kʰ e a l
খেলনা	kʰ e l . n ɑ
খেলনা	kʰ ɛ l n ɑ
খেলনা	kʰ ɛ l n ɑ
খেলা	kʱ æ l a
খোঁজা	kʰ õ d ʒ a
খোঁজা	kʰ õ d z a
খোঁজা	kʰ õ z a
গ	ɡ ɔ
গং	ɡ ɔ ŋ
গণিকা	ɡ ɔ n i k a
গণ্ডার	ɡ ɔ n ɖ a r
গন্ডার	ɡ ɔ n ɖ ɑ ɾ
গন্ডার	ɡ ɔ n ɖ ɑ ɹ
গন্ধতৃণ	ɡ ɔ n dʱ ɔ t ɾ i n ɔ
গন্ধভাদাল	ɡ ɔ n dʱ ɔ bʱ a d a l
গরিলা	ɡ ɔ ɾ i l a
গরিলা	ɡ ɔ ɹ i l a
গর্দান	ɡ ɔ ɾ . d̪ a n
গলা	ɡ ɔ l a
গল্প	ɡ ɔ l p o
গহির	ɡ ɔ . ɦ i ɾ
গাঁইড়া	ɡ a i . ɾ a
গাঁজা	ˈɡ ã d ʒ a
গাঁজা	ˈɡ ã n d ʒ a
গাঁজা	ˈɡ a d ʒ a
গাঁজা	ˈɡ a n d ʒ a
গাঁজা	ˈɡ a d z a
গাঁজা	ˈɡ a n d z a
গাঁড়	ɡ ã ɽ
গাইড়া	ɡ a i . ɾ a
গাছ	ɡ ɑ s
গাছ	ɡ ɑ t ʃʰ
গাড়া	ɡ a ɽ a
গাড়ি	ɡ a ɽ i
গাড়ী	ɡ a ɽ i
গুজরাট	ɡ u d ʒ ɔ ɾ a ʈ
গুফা	ɡ u . pʰ ɑ
গুম	ɡ u m
গুম্ফা	ɡ u m . pʰ ɑ
গুরুত্বপূর্ণ	ɡ u r u tː ɔ p u r n ɔ
গুহা	ɡ u . ɦ ɑ
গেরাম	ɡ e . ɾ ɑ m
গোফা	ɡ o . pʰ ɑ
গোশ	ɡ o ʃ
গোশত	ɡ o ʃ t̪
গোশত	ɡ o ʃ t̪ o
গোস্ত	ɡ o s t̪ o
গৌতম	ɡ o u . t̪ ɔ m
গ্রন্থাগার	ɡ ɾ o n tʰ a ɡ a ɾ
গ্রাম	ɡ ɾ ɑ m
গ্রেপ্তার	ɡ ɾ e p t̪ a ɾ
গ্রেফতার	ɡ ɾ e f t̪ a ɾ
গ্লাস	ɡ l a s
গ্লাস	ɡ l a ʃ
ঘ	ɡʱ ɔ
ঘর	ɡʱ ɔ ɾ
ঘাড়	ɡʱ a ɽ
ঘুড়ি	ɡʱ u ɽ i
ঘুড়ি	ɡ u ɽ i
ঘোঙ্গা	ˈɡʱ o ŋ . ɡ ä
ঘোড়া	ɡʱ o ɽ a
ঘোষ	ɡʱ o ʃ
ঘোষাল	ɡʱ o . ʃ ɑ l
ঙ	ŋ ɔ
চ	t͡ʃ ɔ
চ	t͡s ɔ
চ	t͡ɕ ɔ
চউখ	t͡s ɔ u kʰ
চউখ	t͡s ɔ u k
চউখ	s ɔ u k
চর্বি	t ʃ o r b i
চশমা	t ʃ ɔ ʃ m a
চা	t ʃ a
চাউল	c a u̯ l
চাকমা	t͡ʃ ɐ k m ɐ
চাকা	t ʃ a k a
চাটা	ˈt ʃ a ʈ a
চান	t ʃ a n
চান	t͡s a n
চান	s a n
চানকপাইল্যা	t͡s a n . k ɒ . p a i l . l a
চানকপাইল্যা	t͡s a n . k ɒ . ɸ a i l . l a
চানকপাইল্যা	s a n . k ɒ . p a i l . l a
চানকপাইল্যা	s a n . k ɒ . ɸ a i l . l a
চান্নি	t͡s a n . n i
চান্নি	s a n . n i
চামচড়া	t͡s a m . t͡s ɒ . ɾ a
চামচড়া	s a m . s ɒ . ɾ a
চালতা	c a l t a
চালানো	ˈt ʃ a l a n o
চিংড়ি	t͡ʃ i ŋ r i
চিড়িয়াখানা	t ʃ i ɽ i a kʰ a n a
চিনি	t ʃ i n i
চিলমচি	t ʃ i l ɔ m t ʃ i
চুঁচি	ˈt͡ʃ ũ . t͡ʃ i
চুঁচি	ˈt͡s ũ . t͡s i
চুদা	t͡ʃ u . d̪ ɑ
চুম্বন	t ʃ u m b ɔ n
চুরট	t͡ʃ u . ɾ ɔ ʈ̟
চুরি	t͡ʃ u r i
চুরুট	t͡ʃ u . ɾ u ʈ̟
চুল	t ʃ u l
চুল	t s u l
চেত	t͡ʃ e t̪ o
চেত	t͡s ɛ t̪
চেত	s ɛ t̪
চেত	t͡s ɛ t̪
চেত	s ɛ t̪
চেতা	t͡ʃ e t̪ a
চেতা	t͡s ɛ t̪ a
চেতা	s ɛ t̪ a
চেতা	t͡s ɛ t̪ a
চেতা	s ɛ t̪ a
চেয়ার	ˈt͡ʃ e . ä ɾ
চেয়ে	ˈt͡ʃ e j e
চৈনিক	t͡ʃ o i̯ . n i k
চোখ	t ʃ o kʰ
চোথা	c o . t̪ʰ a
চোদা	t͡ʃ o . d̪ ɑ
চোষা	t ʃ o ʃ ɑ
চোষা	t s o ʃ ɑ
চৌধুরি	ˈt͡ʃ o u̯ . d̪ʱ u . ɾ i
চৌধুরি	ˈt͡s o u̯ . d̪ʱ u . ɾ i
ছ	t͡ʃʰ ɔ
ছ	t͡sʰ ɔ
ছ	t͡ɕʰ ɔ
ছবি	t ʃʰ o b i
ছাত্র	t ʃʰ a t̪ ɾ o
ছিটমহল	t ʃʰ i ʈ . m ɔ ɦ ɔ l
ছিপ	t͡ʃʰ i p
ছিপ	s i p
ছিপ	s i ɸ
ছিপ	s i p
ছিপ	s i ɸ
ছিপি	t͡ʃʰ i . p i
ছিপি	s i . p i
ছিপি	s i . ɸ i
ছিপি	s i . p i
ছিপি	s i . ɸ i
ছেলে	t ʃʰ e l e
ছেলে	s e l e
জ	d͡ʒ ɔ
জঙ	ɟ ɔ ŋ
জন্মদিন	ˈd ʒ ɔ n m o ˌd̪ i n
জন্যে	d ʒ ɔ nː e
জবাই	d ʒ ɔ b a i
জমি	d ʒ o m i
জমিন	d ʒ o m i n
জল	d͡ʒ ɔ l
জাড়	d ʒ a ɽ
জাড়	z a ɾ
জাড়	d͡z a ɾ
জাদু	d ʒ a d̪ u
জায়গা	d ʒ a e̯ ɡ a
জিগানো	z i . ɡ a . n ɔ
জিনিস	d ʒ i n i ʃ
জিব্ভা	z i b . bʱ a
জির্ভা	z i ɾ . bʱ a
জিহ্বা	d͡ʒ i u̯ bʱ a
জিহ্বা	d͡ʒ i u̯ β a
জীবন	d ʒ i b ɔ n
জীবিত	d͡ʒ i . b i . t̪ ɔ
জীবিত	d͡ʒ i b i t̪ o
জীবিত	d͡ʒ i b i t̪ o
জেঠ	z ɛ t̺ʰ
জোস	d ʒ o s
জোস	d ʒ o ʃ
জ্যোৎস্না	d ʒ o t ˈs n a
ঝ	d͡ʒʱ ɔ
ঝাল	ɟʱ a l
ঝিঙা	ɟʱ i ŋ a
ঝিঙ্গা	ɟʱ i ŋ ɡ a
ঞ	j ɔ̃
ঞ	n ɔ
ট	ʈ ɔ
টমটম	ʈ̟ ɔ m . ʈ̟ ɔ m
টলা	t̺ ɒ . l a
টানা	ˈʈ a n a
টিকট	ˈʈ̟ i . k ɔ ʈ̟
টিকিট	ˈʈ̟ i . k i ʈ̟
টুপি	ˈʈ u p i
টেলক	ʈ æ . l ɔ k
টেলক	t̺ ɛ . l ɔ k
টেলক	t̺ ɛ . l ɔ k
টেহা	t̺ ɛ . ɦ a
ট্যাক্সি	ʈ æ k s i
ঠ	ʈʱ ɔ
ঠাঁঁই	ʈʰ ã i
ঠাঁই	ʈʰ ã i
ঠোঁট	tʰ o t
ঠোঁট	tʰ u t
ড	ɖ ɔ
ডগ	d̺ ɒ ɡ
ড়	ɽ̟
ডাক্তার	ɖ a k t̪ a ɾ
ডাঙর	d a ŋ ɔ ɾ
ডিম	ɖ i m
ডিলডো	ɖ i l ɖ o
ডিল্ডো	ɖ i l ɖ o
ডুরিয়ান	ɖ̟ u . ɾ i . ɑ n
ডেহা	d̺ ɛ . ɦ a
ঢ	ɖʱ ɔ
ঢ়	ɽ̟
ঢাকা	ˈɖʱ a k a
ঢেঁড়স	ɖʱ æ̃ ɽ o ʃ
ণ	n ɔ
ত	t ɔ
তটিনী	t o ʈ i n i
তড়িৎ	ˈt̪ ɔ ɽ i t̪
তবু	t̪ ɔ b u
তবুও	t̪ ɔ b u o
তবে	t̪ ɔ b e
তল্লাশি	t̪ ɔ l l a ʃ i
তাঁরা	t̪ ã r a
তাং	t̪ a ŋ
তাই	t̪ a͡i
তাওয়া	t̪ a w a
তাকানো	t̪ a k a n̪ o
তাজ	t̪ a d ʒ
তাজা	t̪ a z a
তামা	t a m a
তামাশা	t̪ ä . m ä . s̠ ä
তামুক	t̪ a . m u k
তার	t̪ a r
তার	t̪ a r
তারা	t̪ a r a
তারা	t̪ a r a
তারিপ	t̪ ä . ɾ i p
তারিফ	t̪ ä . ɾ i pʰ
তালাশ	t̪ a l a ʃ
তিনি	t̪ ɪ . n̪ ɪ
তিমি	t̪ i m i
তিসি	t i ʃ i
তীর	t̪ ɪː ɾ
তুঁই	t̪ ũ i
তুই	ˈt̪ ʊ i
তুফান	t̪ u f a n
তুমি	ˈt̪ u ˌm i
তুরিত	ˈt̪ u . ɾ i t̪
তুলনামূলক	t u l n a m u l ɔ k
তৃণমূল	t̪ ɾ i . n ɔ . m u l
তেঁতুল	t ẽ t u l
তেল	t̪ e l
তোমাদের	ˈt̪ o m ɑ ˌd̪ ɛ ɹ
তোশক	t̪ o ʃ o k
ত্রিপত্র	t ɾ i p ɔ tː ɾ ɔ
থ	tʱ ɔ
থন	t̪ʰ ɒ n
থনে	t̪ʰ ɒ n e
থলি	t̪ʰ ɔ . l i
থাকা	t̪ʰ ɑ k ɑ
থানকুনি	tʰ a n k u n i
থার্মমিটার	t̪ʰ ɑ ɾ . m ɔ . m i . ʈ̟ ɑ ɾ
থার্মোমিটার	t̪ʰ ɑ ɾ . m o . m i . ʈ̟ ɑ ɾ
দ	d̪ ɔ
দইর্যা	d̪ ɔ i ɾ . d͡ʑ a
দইর্যা	d̪ ɔ i ɹ . ɹ a
দখল	d̪ ɔ kʰ o l
দপ্তর	d̪ ɔ p t̪ o ɾ
দফতর	d̪ ɔ f t̪ o ɾ
দফা	d̪ ɔ f a
দরবার	d̪ ɔ r b a r
দরিয়া	d̪ o r i j a
দলান	d̪ ɒ . l a n
দলিত	d̪ ɔ . l i t̪
দাঁড়ানো	d̪ a ɽ a n o
দাঁড়ানো	d̪ ã ɽ a n o
দাঁড়ানো	d̪ a ɾ a n o
দাঁড়ানো	d̪ a ɹ a n o
দাঁত	d̪ ɑ t̪
দাঁত	d̪ ɑ̃ t̪
দাউদাউ	d̪ a u̯ . d̪ a u̯
দাওয়াত	d̪ a w a t̪
দাখিল	d̪ a kʰ i l
দাড়ি	d a ɽ i
দালান	d̪ a . l a n
দীপঙ্কর	d̪ i . p ɔ ŋ . k ɔ ɾ
দীপান্বিতা	d̪ i . p ɑ n . n i . t̪ ɑ
দীপাবলি	d̪ i . p ɑ . b ɔ . l i
দীপাবলি	d̪ i p ä b o l i
দীপাবলি	d̪ i p ä b o l i
দীপোৎসব	d̪ i . p o t̪ . ʃ ɔ b
দুঃখ	d u k ˈkʰ o
দুইন্যাই	d u i n . n a i
দুইপর	d̪ u i . p ɒ ɾ
দুইপর	d̪ u i . ɸ ɒ ɾ
দুগি	d̪ u . ɡ i
দুপুর	d̪ u p u ɾ
দুরিয়ান	d̪ u . ɾ i . ɑ n
দেখা	ˈd̪ æ kʰ a
দেশ	d̪ e ʃ
দেশি	d̪ e ʃ i
দোতারা	d̪ o t̪ a ɾ a
দোলনা	d o l n a
দ্রুত	d̪ ɾ ʊ t̪ o
ধ	dʱ ɔ
ধন	d̪ʱ ɔ n
ধন	d̪ ɔ n
ধনিয়া	dʱ o n i a
ধনে	dʱ o n e
ধর্ষণ	dʱ ɔ ɾ . ʃ ɔ n
ধাইর	d̪ʱ a i ɾ
ধারি	d̪ʱ a . ɾ i
ধুতুরা	d̪ʱ u t̪ u ɾ ɑ
ধুতুরা	d̪ʱ u t̪ u ɽ ɑ
ন	n ɔ
নং	n ɔ ŋ
নউগল	n ɔ u . ɡ ɔ l
নকল	n ɔ k o l
নগ্ন	n ɔ ɡ n o
নগ্নতা	n ɔ ɡ n o t̪ a
নতুন	n ɔ t̪ u n
নবডঙ্কা	n ɔ . b ɔ . d ɔ ŋ . k ɑ
নববর্ষ	n ɔ . b ɔ . b ɔ ɾ . ʃ ɔ
নববর্ষ	n ɔ̜ b o b ɔ̜ ɾ s̠ o
নববর্ষ	n ɔ̜ b o b ɔ̜ ɾ s̠ o
নভেল	n ɔ . bʱ e l
নমস্কার	n ɔ m ɔ ʃ k a r
নমাজ	n ɔ m a z
নরম	n ɔ ɾ o m
নাইকল	n a i . k ɒ l
নাইহল	n a i . ɦ ɒ l
নাগেশ্বর	n a ɡ e ʃː ɔ ɾ
নাঙ্গা	n a ŋ a
নাঙ্গা	n a ŋ ɡ a
নাদান	n a d̪ a n
নাপ্পি	n ɑ p . p i
নাম	n a m
নামহীন	ˈn a m ɦ i n
নামাজ	n a m a z
নারাজ	n a r a z
নারাজ	n a r a d ʒ
নিমন্ত্রণ	n i m o n t̪ ɾ o n
নিয়াস	n i a ʃ
নিষিদ্ধ	n i ʃ i d̪ːʱ o
নীহারিকা	n i ɦ a ɾ i k a
নীহারিকা	n i ɦ a ɽ i k a
নুনি	n u . n i
নুনু	n u . n u
নেপিদ	n e . p i . d̪ ɔ
নেমন্তন্ন	n e m o n t̪ o n n o
ন্যূনতম	n u n . t̪ ɔ . m ɔ
প	p ɔ
পক্ষে	p ɔ kːʰ e
পছন্দ	p ɔ s o n d̪ o
পছন্দ	p ɔ t ʃʰ o n d̪ o
পটোল	p ɔ ʈ o l
পড়া	ˈp ɔ ɽ a
পড়া	ˈp ɔ ɹ a
পতর	p ɔ . t̪ ɔ ɾ
পতর	p ɒ . t̪ ɔ ɾ
পতর	ɸ ɒ . t̪ ɔ ɾ
পদ্ম	p ɔ d̪ː ɔ
পয়গম্বর	p ɔ e̯ . ɡ ɔ m . b ɔ ɾ
পর	p ɔ ɾ
পর	p ɒ ɾ
পর	ɸ ɒ ɾ
পরশু	p ɔ ɾ . ʃ u
পরা	ˈp ɔ r a
পরা	ˈp ɔ ɹ a
পরিস্থিতি	p ɔ . ɾ i ʃ . t̪ʰ i . t̪ i
পরু	p ɔ ɾ u
পরু	ɸ ɔ ɾ u
পরেন্দা	p ɔ . ɾ ɛ n . d̪ a
পর্ন	p ɔ ɹ n
পর্বত	p ɔ r b ɔ t
পসর	p ɒ . ʃ ɔ ɾ
পসর	ɸ ɒ . ʃ ɔ ɾ
পহর	p ɒ . ɦ ɔ ɾ
পহর	ɸ ɒ . ɦ ɔ ɾ
পা	p a
পাইথন	p ɑ i . t̪ʰ ɔ n
পাউরা	p a u . ɾ a
পাকস্থলী	p a k ɔ s tʰ o l i
পাখি	p a kʰ i
পাছা	p a t ʃʰ a
পাছা	p a s a
পাঠা	ˈp a ʈʰ a
পাঠানো	p ɑ ʈʰ ɑ n o
পাড়	p a ɾ
পাড়	ɸ a ɾ
পাতা	p a t a
পাত্তা	ˈp ä t̪ . t̪ äˑ
পানি	ˈp ɑː n iː
পানিয়ালা	p a n i a l a
পানু	p ɑ . n u
পান্থপাদপ	p a n tʰ ɔ p a d ɔ p
পান্না	p a nː a
পায়ু	p ɑ . e̯ u
পায়ুকাম	p ɑ . e̯ u . k ɑ m
পায়ুকামী	p ɑ . e̯ u . k ɑ . m i
পারদ	p ɑ . ɾ ɔ d̪
পারা	p a ɾ a
পারা	p a ɹ a
পারা	p a ɽ a
পার্থক্য	p a ɾ t̪ʰ ɔ kː o
পার্থক্য	p a ɹ t̪ʰ ɔ kː o
পাসরা	p a . ʃ ɔ . ɾ a
পাহাল	p a . ɦ a l
পাহাল	ɸ a . ɦ a l
পাহুরা	p a . ɦ u . ɾ a
পিতা	p i . t̪ aː
পিপলী	p i p ɔ l i
পিপ্পল	p i pː ɔ l
পিয়ানো	p i ɑ n o
পুজো	p u . d͡ʒ o
পুটকি	p u ʈ k i
পুড়ি	p u . ɾ i
পুড়ি	ɸ u . ɾ i
পুত	p u t̪
পুত	p u t̪
পুত	ɸ u t̪
পুদিনা	p u d̪ i n a
পুরস্কার	p u . ɾ ɔ ʃ . k ɑ ɾ
পুরস্কার	p u ɾ o s̠ k ä ɾ
পুরস্কার	p u ɾ o s̠ k ä ɾ
পুষ্টিকর	p u ʃ . ʈ̟ i . k ɔ ɾ
পুষ্প	p u ʃ p ɔ
পুস্তক	p u s t ɔ k
পূজা	p u . d͡ʒ ɑ
পূতিবাত	p u t i b a t
পেঁক	p ɛ k
পেঁক	ɸ ɛ k
পেঁচা	p ɛ̃ t ʃ a
পেখম	p e kʰ ɔ m
পেরেশান	p e r e ʃ a n
পোয়াত	p ɔ a t̪
